marks,n,author,title,date,content_ques
0,28,sec5566 (sec),Re: [閒聊] 會說生小孩也不會照顧自己的都那種人？,Wed Sep 16 12:50:22 2020,所以現在都流行吃小鮮肉啊養兒防老不行了那就找個小二十歲的男生結婚這樣老了還是有人養你阿女人越老越值錢三十歲嫁工程師四十歲嫁律師五十歲嫁醫師六十歲嫁總經理七十歲嫁董事長
0,31,Tapqou (三三三),Re: [難過] 家人不希望家族絕後 一直施壓結婚生小孩,Sun Sep 13 09:16:10 2020,我明年就30歲了是家裡的老大 下面有兩個弟弟各差我三四歲而已如果你弟的想法跟你不同其實就沒差我覺得現在YOUTUBE很發達你可以找一些觀念跟你比較相近並且有在說這類事情的YT給你家人看畢竟你的家人整天就是窩在電視前面看那些觀念很老的電視台想法會很守舊是必然的慢慢找找一些可以把你的想法婉轉且完整的表達的YT一部一部給你的家人看說不定慢慢的就會有點改變你用自己的嘴巴講絕對比不過多找幾個人YT來佐證還有說服力
0,34,ccnoire (天生雞冠頭就是帥),Re: [閒聊] 最早生小孩的朋友幾歲,Thu Aug 27 13:03:45 2020,有個同歲親戚 15 歲就生孩子了夫妻兩個是鄰居青梅竹馬女生有休學一年生養小孩後面孩子婆家娘家幫著顧人生階段還是跟普羅大眾差不多一樣讀到大學工作只是提早已婚每次過年看到他兒子大學畢業我還在養兩歲半獸人就覺得早生也不錯啊38 歲就能重獲自由哈哈 今天跟朋友聊天的時候意外得知我們有個高中同學去年生了小孩 我當下超級震驚的因為我覺得有小孩對我來說是很久以後才會發生的事 我認識的人居然22歲就生了而且她也不是那種愛玩89妹覺得超不真實
0,35,chirex (請叫我大魔道士),Re: [閒聊] 最早生小孩的朋友幾歲,Thu Aug 27 09:29:02 2020,今天跟朋友聊天的時候意外得知我們有個高中同學去年生了小孩 我當下超級震驚的因為我覺得有小孩對我來說是很久以後才會發生的事 我認識的人居然22歲就生了而且她也不是那種愛玩89妹覺得超不真實我國中的時候我同學有一個女生畢業就生小孩了她那時候應該是15歲吧跟我同年但她是9月生後來在我家附近開了一家髮廊我還有去給她剪過頭髮也逗過她女兒玩她有結婚但沒多久就離婚了後來我搬走前幾年有遇到她女兒她女兒也生了小孩女兒叫我叔叔說好久不見然後我又跟她哈啦順道抱了一下她的小孩一樣是女生呃這感覺真的很奇妙我都還沒結過婚我同學都已經當阿嬤了當時我應該是36歲吧她女兒應該是20上下我當時突然能體會阿標作阿公的心情了
0,36,tavern (我要早點洗澡),[閒聊] 最早生小孩的朋友幾歲,Thu Aug 27 00:23:17 2020,今天跟朋友聊天的時候意外得知我們有個高中同學去年生了小孩我當下超級震驚的因為我覺得有小孩對我來說是很久以後才會發生的事我認識的人居然22歲就生了而且她也不是那種愛玩89妹覺得超不真實
0,37,ccyaztfe (best_troll_tw),[閒聊] 女生有想過在年輕時生小孩嗎？,Wed Aug 26 18:08:14 2020,如題從生理學的角度來看人類不分男女新陳代謝肌肉骨骼等等生理機能在18歲左右到達顛峰然後大概維持到25歲過了25就開始老化所以對於女性來講其實生小孩的黃金時期是左右甚至往前個一兩年到16歲也都是OK的這時候懷孕因為人體素質好所以對身體的負擔會比較少生完小孩以後恢復力也會很強依然可以保持青春年輕的狀態所以我還蠻好奇的各位女生處與黃金時期的步入老化時期的女生你們有沒有曾經想過要在年輕的時候生小孩
0,42,meowyih (meowyih),Re: [討論] 為什麼你們還願意生小孩,Sat Jul 18 17:19:38 2020,有二種文章立場雖然是相反但其實發文的根本是同一類型的人舉例來說一個吃素的人看到有人吃葷就跑去問誒誒誒你為什麼肯吃葷食啊吃葷食就環保來說是 下略五百字而且肉這麼便宜是因為 下略五百字要說營養有很多運動員是素食者他們 下略五百字討人厭吧同樣的一個吃葷的看到有人吃素就跑去問誒誒誒你為什麼要吃素啊要說宗教原因難到某某某就沒生命嗎 下略五百字要說健康原因白肉配正確料理法就很健康啊 下略五百字要說吃肉就會吐這是心理因素要不要去看醫生啊 下略五百字立場相反做的事沒二樣一樣討人厭啊你發這種文章也差不多意思標題上裝的好像是在發問內文擺明就是在找生小孩的麻煩講得生小孩超級損人不利己會生的要碼沒腦袋不會想要碼自私不然就是凱子哇勒你過年長輩整天問你為啥不生小孩說不生以後會怎樣怎樣的你聽了很爽嗎既然知道多討人厭為什麼上了 ptt 就變得和那些長輩一樣了勒這個社會如果真的沒人生小孩社會架構在二十年內就會垮掉因為真正推動經濟的還是人力提供的勞務錢只是中間介質沒有足夠的人提供勞務競爭力馬上就會衰退你想從外國進口人力也沒辦法了上面這段不是要你生小孩是麻煩對還肯生的傻瓜好一點可以嗎 a人家傻到花錢花時間花力氣讓你二十年後還可以樓下買買小七上網叫叫外送結果開個電腦還要被你這種假裝問問題其實是在貶人的文章酸真的有夠GY的多GY就跟你過年被長輩 好心的問 你怎麼不結婚不生一樣程度的GY唷 p
0,43,chad60711 (覺得),Re: [討論] 為什麼你們還願意生小孩,Sat Jul 18 15:26:24 2020,底下推文看到一句說生小孩是人生的一環這點讓我覺得非常非常非常非常非常奇怪以下兇宅爆氣請不要太認真看首先人生的一環到底是怎麼制定的我們的標準到底是什麼這絕對沒有答案因為每個人的人生都不一樣啊因為所有人都在做那豈不是單純的跟風而已從自然界的角度來講好了其實所有生物的生命都只是為了達成能量的循環剛好維持了這個生態圈但細胞分裂終究無法永遠持續下去因為能量會在每個步驟失去一些直到剩餘的能量一點都不剩這時我們才需要繁衍後代目的就是為了找到替代自己維持生態平衡的生命這樣看起來其實應該是要生小孩的對吧我倒覺得相反人類會在性行為獲得歡愉感覺就是為了確保我們繼續繁衍的方法因為我們是智慧過高的生物所以只能這樣做說真的如果沒有了性慾我根本連碰都不想碰異性所以在演變下可能留下來的都是會從性行為得到快感的人那些沒有的則被淘汰而我們這樣一直被半強迫的維持生態平衡到了現在大家也不知道為什麼認為生小孩是生命的一環在我看來這種想法跟野生動物沒有兩樣沒有原因的想要繁衍下一代真的很不像人類一般人會把因性衝動而對女生下手的行為比喻成逞獸慾但在我看來想要生小孩還比較像是所謂的獸慾但注意我還是覺得性侵是很智障的行為這麼做的都是垃圾人渣雖然這麼說但我也不知道人要這麼高的智慧幹嘛但我很確定絕對不是拿來生小孩的沒有任何一個行為是生命的一環思索人生意義也只是浪費時間因為自然界只是希望能量可以循環可是其實人類卻不是自然的一環吧其他物種都無法靠自己的力量毀滅或復甦其他物種那我們的角色到底是什麼我哪知道我只知道生命的一環這種必定要做的事不存在在人類當中啦幹
0,44,dilson (中肯的話通常不好聽懂嗎),Re: [問題] 為什麼要鼓吹窮人不要生小孩？,Sat Jul 18 13:59:26 2020,你不是窮人 所以不知道當窮人小孩的辛苦請去看電影魯冰花 裡面說過有錢的小孩什麼都會強者我同學有一位家裡有錢 裡一位家裡貧窮記得以前小時候 有錢的同學暑假去歐洲與美洲玩貧窮的同學要幫忙家裡資源回收從小還要忍受別人的酸言酸語現在長大後 貧窮的同學雖然比有錢的同學有成就但還是會不經意透露自己沒自信的那一面唉唉窮人小孩當然比較沒自信因為你要比別人更努力在這社會還不見得會成功
0,45,nemesisred (某踢西),Re: [問題] 為什麼要鼓吹窮人不要生小孩？,Sat Jul 18 13:33:22 2020,你說的完全沒錯啊不過這正是反映鄉民們其實良心未泯的證據要是是現實生活的人我當然是各種鼓吹生生生社會打滾久了甚麼天花亂墜的理由都屁的出來不過心裏想的是未來就靠你們小孩為我端盤子了就是有良心的鄉民才會說實話建議不要生好嗎這個時代窮人對社會少數的反抗手段之一就是不要生不要讓下一代繼續撿角下去來跟社會來一場激烈的互相傷害 常常看到一些社會案件還是某些抱怨文 下面推文都會鼓吹窮人不應該生小孩 可是這個社會每個人食衣住行大部分的東西都是 窮人的小孩提供勞力才有的 就算不是台灣的窮人也都是 其他第三世界的工廠裡面的窮人小孩製作的 就算你買所謂的歐洲精品 你真的去德國法國的工廠裡面看 也會發現裡面其實是一大堆外籍移民的窮人小孩在工作 如果窮人真的都聽他們的話不生小孩了 那社會是不是就崩潰了呢 難道有錢人的小孩真的會挽起袖子進工廠組裝產品 去農地揮汗工作 或是騎車幫你送外帶 還是當看護幫老人把屎把尿嗎 為什麼要鼓吹窮人不能生小孩
0,46,devilnd (醉起步溪月),[問題] 為什麼要鼓吹窮人不要生小孩？,Sat Jul 18 13:11:23 2020,常常看到一些社會案件還是某些抱怨文下面推文都會鼓吹窮人不應該生小孩可是這個社會每個人食衣住行大部分的東西都是窮人的小孩提供勞力才有的就算不是台灣的窮人也都是其他第三世界的工廠裡面的窮人小孩製作的就算你買所謂的歐洲精品你真的去德國法國的工廠裡面看也會發現裡面其實是一大堆外籍移民的窮人小孩在工作如果窮人真的都聽他們的話不生小孩了那社會是不是就崩潰了呢難道有錢人的小孩真的會挽起袖子進工廠組裝產品去農地揮汗工作 或是騎車幫你送外帶 還是當看護幫老人把屎把尿嗎為什麼要鼓吹窮人不能生小孩
0,50,med5566 (美德5566),[閒聊] 看時辰生小孩,Sat Jul 11 18:50:18 2020,各位女版鄉民們晚安生辰八字有人對此深信不疑甚至寧願自費花錢看時間剖腹但倘若八字天命是真的刻意人為去偽造又能扭轉什麼鄉民們周邊也有這種例子嗎
0,56,Zionward (西那蒙),Re: [閒聊] 「等你生小孩就知道了」是什麼意思,Tue Jun 2 23:26:38 2020,這個家長的態度很擊掰 但他講的其實不全錯沒生過不會知道小孩這麼可惡生過就知道了有時要尖叫真的沒法那種知道不是理智上的知道是育兒幾百幾千小時累積的身體記憶回到原原po的問題雖然我想原原po只是想洩忿不是真的要知道不過如果要個說法 那就跟作愛一樣喇做過就知道沒做過就不知道 顧小孩顧過就知道沒顧過就不知道顧一天的不算有時小孩瘋狂時是真的很無奈只能一直提醒自己小孩前額葉或之類還沒發育好根本半人半獸回到餐廳既然有人來講了家長應該帶出去比較識相類似於把狗牽出去但話說回來如果餐廳老闆沒出面顧客vs顧客那個家長也未必全無立場畢竟那間所謂很安靜的餐廳如果一開始沒禁止某歲以下小孩進入就要概括承受一切可能發生的事情了因此家長雖可惡餐廳老闆也有責任他們應該出來處理 剛剛去一間安靜的餐廳吃飯 一個小孩站在椅子上大吵大鬧惹得大家頻頻側目 終於有位小姐受不了走過去請他們小聲一些 於是小孩的媽媽霹靂啪啦的說 這裡是餐廳又不是你家 管我小孩怎麼樣 小孩會吵鬧本來就正常的 你那麼年輕當然不知道 等你生小孩就知道了 這樣想想好像很多家長都愛講這句話 等你生小孩就知道了 是要知道啥 我想我一輩子都不會知道 要是生個小孩折騰自己還不如射在牆上 所以說 這句話到底是什麼意思勒 難不成生了小孩臉皮就也厚的跟牆一樣禮義廉恥通通都忘記 還是你家生了個金胖胖習大大 其他人都該體諒你 有沒有同樣思想的人能來為我釋疑一下
0,57,moebius2 (漫無目的),Re: [閒聊] 「等你生小孩就知道了」是什麼意思,Tue Jun 2 10:35:47 2020,剛剛去一間安靜的餐廳吃飯 一個小孩站在椅子上大吵大鬧惹得大家頻頻側目 終於有位小姐受不了走過去請他們小聲一些 於是小孩的媽媽霹靂啪啦的說 這裡是餐廳又不是你家 管我小孩怎麼樣 小孩會吵鬧本來就正常的 你那麼年輕當然不知道 等你生小孩就知道了前天 我也遇到一樣的大媽我可不是那種客氣的人我就站在那個小孩的媽媽旁邊小孩大叫一聲 我就叫得更大聲而且貼近那個媽媽第一次 那個媽媽給我一個白眼第二次 我的聲音大到馬路邊的人都往內看那個媽媽忍不住站起來 想吵我就說 讓你知道感同身受反正會放任小孩吵鬧的 都是下等人 都是沒教養 生養的小孩 也不會是好鳥為了社會國家 只能出面教育這樣的爛家長第三次 我又大叫 服務員都跑來了我就說 他小孩讓我不能好好用餐 我也不讓它們好好用餐雖然最後只是把彼此位置換得遠一點但是有看到那個35歲高齡大媽終於要小孩好好坐下而不是放任鬼吼鬼叫改善環境不可以姑息 要你我做起誰沒小孩 我三個小孩都沒在餐廳鬧過 也沒在高鐵上大小聲過只要敢吵 我就立刻出去外面 或是車廂間 或是下車到一個沒人的地方 等他哭鬧完再繼續旅程我都會時時刻刻叮嚀 大聲說話是很不禮貌的行為我三寶今年四歲在家裡可以是個瘋子 沒事一個人在那邊唱歌跳舞 跳上沙發又跳下來但是我鄰居完全不知道我已經回家雖然在家很會鬧 在高鐵或是餐廳絕對很安靜 ╭ 哪裡都那麼熟了 ╮ 口桀口桀 ╭ 謝謝你們來參加我們的婚禮 ◢███◣ ◢███◣ ◢███◣ ◢███◣ ◢███◣ ▄▄▄▄▄▆████◤ ███◥◥ ██◤◥██◥◥◥◥█ █████ █████ ███ ▆█▆█◥ ▄▄██ ◥████◤◥███◤◤ ██◤ ◤ ◥███◤◥███◤ ◢ 同梯 ◣ ◢ 室友◣ ◢ 哥哥 ◣ ◢▼██◣ ◢▏█▉◣
0,58,userkka (就到此為止吧—),[閒聊] 「等你生小孩就知道了」是什麼意思,Mon Jun 1 17:39:46 2020,剛剛去一間安靜的餐廳吃飯一個小孩站在椅子上大吵大鬧惹得大家頻頻側目終於有位小姐受不了走過去請他們小聲一些於是小孩的媽媽霹靂啪啦的說這裡是餐廳又不是你家管我小孩怎麼樣小孩會吵鬧本來就正常的你那麼年輕當然不知道等你生小孩就知道了這樣想想好像很多家長都愛講這句話等你生小孩就知道了是要知道啥我想我一輩子都不會知道要是生個小孩折騰自己還不如射在牆上所以說這句話到底是什麼意思勒難不成生了小孩臉皮就也厚的跟牆一樣禮義廉恥通通都忘記還是你家生了個金胖胖習大大其他人都該體諒你有沒有同樣思想的人能來為我釋疑一下
0,59,kimura0701 (一天要喝3千cc的水),[閒聊] 身邊有生小孩的大多是原生家庭還行吧,Sat May 30 23:01:24 2020,大家有觀察過自己身邊的人 已經生小孩的家庭是不是原生家庭過得還行或是很不錯的不然明眼人看台灣這個狀況 怎麼還敢生小孩啊
0,63,FrancoFF (FrancoFF),Re: [閒聊] 中國人去美國大使館生小孩拿到美國國籍嗎,Fri May 8 11:49:59 2020,根據美國國務院外交事務手冊第七卷1110項的規定美國海外軍事機構以及駐外的外交領事等機構均不屬於憲法14條修正案意義上的美國領土一部分 所以在這些地方出生的小孩無法獲得美國國籍你是看哪一部唬爛的電影 竟然連這點都搞錯了 中國人人人都想當美國人 羨慕美國的自由 美國的擁槍憲法 更羨慕沒有天網監控的國家 還有勞工平均收入 所以很多人都想要偷渡過去 那我在想阿 有電影演到 在大使館生小孩 拿到美國國籍 那中國人 中國孕婦去美國駐中國大使館生小孩 可以馬上拿到嗎
